IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
54.79.10.40,2096,80,FALSE,SYD,Oceania,Sydney,161,50
13.36.24.111,2083,80,FALSE,CDG,Europe,Paris,161,50
54.251.118.130,2053,80,FALSE,SIN,Asia Pacific,Singapore,162,50
15.236.182.68,443,80,FALSE,CDG,Europe,Paris,162,50
54.251.118.130,2096,80,FALSE,SIN,Asia Pacific,Singapore,162,50
13.36.253.240,2087,80,FALSE,CDG,Europe,Paris,165,50
13.36.24.111,2096,80,FALSE,CDG,Europe,Paris,166,50
13.55.59.224,2087,80,FALSE,SYD,Oceania,Sydney,167,50
13.238.235.196,2095,80,FALSE,SYD,Oceania,Sydney,167,50
13.215.80.221,2083,80,FALSE,SIN,Asia Pacific,Singapore,168,50
54.194.162.247,80,80,FALSE,DUB,Europe,Dublin,169,50
13.54.173.154,2052,80,FALSE,SYD,Oceania,Sydney,170,50
13.209.166.73,80,8080,FALSE,ICN,Asia Pacific,Seoul,170,50
54.216.89.4,2052,80,FALSE,DUB,Europe,Dublin,170,50
54.251.118.130,2083,80,FALSE,SIN,Asia Pacific,Singapore,170,50
13.36.63.124,2082,80,FALSE,CDG,Europe,Paris,171,50
13.36.162.145,2083,80,FALSE,CDG,Europe,Paris,172,50
157.175.188.0,8443,443,TRUE,MRS,Europe,Marseille,172,50
13.36.162.145,2095,80,FALSE,CDG,Europe,Paris,173,50
13.54.173.154,2083,80,FALSE,SYD,Oceania,Sydney,173,50
13.36.63.124,2096,80,FALSE,CDG,Europe,Paris,174,50
99.80.238.19,2082,80,FALSE,DUB,Europe,Dublin,176,50
13.36.63.124,2087,80,FALSE,CDG,Europe,Paris,176,50
13.36.24.111,2095,80,FALSE,CDG,Europe,Paris,176,50
15.161.186.110,2096,80,FALSE,MXP,Europe,Milan,177,50
13.36.162.145,2086,80,FALSE,CDG,Europe,Paris,177,50
79.125.15.17,2053,80,FALSE,DUB,Europe,Dublin,177,50
15.161.40.69,2083,80,FALSE,MXP,Europe,Milan,178,50
13.54.173.154,2086,80,FALSE,SYD,Oceania,Sydney,178,50
13.36.162.145,2087,80,FALSE,CDG,Europe,Paris,179,50
15.161.74.249,2087,80,FALSE,MXP,Europe,Milan,179,50
15.160.15.255,2053,80,FALSE,MXP,Europe,Milan,179,50
15.161.74.249,2096,80,FALSE,MXP,Europe,Milan,179,50
13.114.59.37,2052,80,FALSE,NRT,Asia Pacific,Tokyo,179,50
13.55.59.224,2096,80,FALSE,SYD,Oceania,Sydney,179,50
13.55.59.224,2083,80,FALSE,SYD,Oceania,Sydney,179,50
13.36.253.240,2083,80,FALSE,CDG,Europe,Paris,180,50
13.36.24.111,2082,80,FALSE,CDG,Europe,Paris,180,50
15.160.15.101,2095,80,FALSE,MXP,Europe,Milan,181,50
15.160.250.170,2052,80,FALSE,MXP,Europe,Milan,182,50
15.161.40.69,2086,80,FALSE,MXP,Europe,Milan,182,50
13.36.253.240,2053,80,FALSE,CDG,Europe,Paris,182,50
15.161.74.249,2052,80,FALSE,MXP,Europe,Milan,182,50
54.216.89.4,2053,80,FALSE,DUB,Europe,Dublin,183,50
13.54.173.154,2087,80,FALSE,SYD,Oceania,Sydney,183,50
15.160.80.28,2083,80,FALSE,MXP,Europe,Milan,184,50
13.36.162.145,2052,80,FALSE,CDG,Europe,Paris,184,50
15.160.250.170,2086,80,FALSE,MXP,Europe,Milan,185,50
15.160.250.170,2053,80,FALSE,MXP,Europe,Milan,185,50
13.36.162.145,2053,80,FALSE,CDG,Europe,Paris,185,50
15.161.40.69,2087,80,FALSE,MXP,Europe,Milan,185,50
13.36.63.124,2083,80,FALSE,CDG,Europe,Paris,186,50
13.215.80.221,2095,80,FALSE,SIN,Asia Pacific,Singapore,188,50
15.160.250.170,2082,80,FALSE,MXP,Europe,Milan,189,50
15.161.119.140,2096,80,FALSE,MXP,Europe,Milan,189,50
13.36.253.240,2086,80,FALSE,CDG,Europe,Paris,190,50
15.161.119.140,2052,80,FALSE,MXP,Europe,Milan,190,50
15.160.252.181,2086,80,FALSE,MXP,Europe,Milan,190,50
13.53.47.110,2052,80,FALSE,ARN,Europe,Stockholm,190,50
13.238.235.196,2083,80,FALSE,SYD,Oceania,Sydney,190,50
13.48.36.215,2053,80,FALSE,ARN,Europe,Stockholm,190,50
15.161.119.140,2083,80,FALSE,MXP,Europe,Milan,190,50
13.48.140.41,2052,80,FALSE,ARN,Europe,Stockholm,190,50
13.49.119.167,2095,80,FALSE,ARN,Europe,Stockholm,191,50
15.160.252.181,2096,80,FALSE,MXP,Europe,Milan,191,50
15.161.186.110,2082,80,FALSE,MXP,Europe,Milan,191,50
13.36.162.145,2082,80,FALSE,CDG,Europe,Paris,191,50
15.161.119.140,2086,80,FALSE,MXP,Europe,Milan,192,50
15.160.19.149,2083,80,FALSE,MXP,Europe,Milan,192,50
13.48.140.41,2053,80,FALSE,ARN,Europe,Stockholm,192,50
54.252.91.41,2095,80,FALSE,SYD,Oceania,Sydney,193,50
15.161.40.69,2095,80,FALSE,MXP,Europe,Milan,193,50
13.49.119.167,2053,80,FALSE,ARN,Europe,Stockholm,193,50
15.160.14.66,2086,80,FALSE,MXP,Europe,Milan,193,50
13.53.47.110,2082,80,FALSE,ARN,Europe,Stockholm,193,50
15.160.252.181,2082,80,FALSE,MXP,Europe,Milan,194,50
15.160.15.101,2082,80,FALSE,MXP,Europe,Milan,194,50
13.36.253.240,2096,80,FALSE,CDG,Europe,Paris,194,50
13.49.119.167,2083,80,FALSE,ARN,Europe,Stockholm,194,50
163.123.174.42,2083,80,FALSE,PDX,North America,Portland,195,50
15.160.14.66,2082,80,FALSE,MXP,Europe,Milan,195,50
13.49.119.167,2087,80,FALSE,ARN,Europe,Stockholm,195,50
163.123.174.24,2087,80,FALSE,PDX,North America,Portland,195,50
13.48.36.215,2082,80,FALSE,ARN,Europe,Stockholm,196,50
99.80.238.19,2096,80,FALSE,DUB,Europe,Dublin,196,50
13.51.138.200,2086,80,FALSE,ARN,Europe,Stockholm,196,50
163.123.174.217,2053,80,FALSE,PDX,North America,Portland,196,50
163.123.174.59,2053,80,FALSE,PDX,North America,Portland,197,50
15.161.119.140,2082,80,FALSE,MXP,Europe,Milan,197,50
163.123.174.217,2086,80,FALSE,PDX,North America,Portland,198,50
15.160.252.181,2087,80,FALSE,MXP,Europe,Milan,198,50
163.123.174.16,2052,80,FALSE,PDX,North America,Portland,198,50
163.123.174.205,2052,80,FALSE,PDX,North America,Portland,198,50
163.123.174.217,2096,80,FALSE,PDX,North America,Portland,198,50
13.48.36.215,2095,80,FALSE,ARN,Europe,Stockholm,198,50
163.123.174.225,2096,80,FALSE,PDX,North America,Portland,198,50
163.123.174.23,2095,80,FALSE,PDX,North America,Portland,198,50
163.123.174.214,2095,80,FALSE,PDX,North America,Portland,198,50
163.123.174.217,2052,80,FALSE,PDX,North America,Portland,199,50
15.161.186.110,2053,80,FALSE,MXP,Europe,Milan,199,50
15.161.215.18,2053,80,FALSE,MXP,Europe,Milan,199,50
13.236.104.165,2087,80,FALSE,SYD,Oceania,Sydney,199,50
13.51.138.200,2096,80,FALSE,ARN,Europe,Stockholm,199,50
163.123.174.219,2086,80,FALSE,PDX,North America,Portland,200,50
163.123.174.50,2083,80,FALSE,PDX,North America,Portland,200,50
163.123.174.214,2087,80,FALSE,PDX,North America,Portland,200,50
163.123.174.23,2096,80,FALSE,PDX,North America,Portland,200,50
163.123.174.217,2087,80,FALSE,PDX,North America,Portland,200,50
163.123.174.42,2053,80,FALSE,PDX,North America,Portland,200,50
163.123.174.42,2095,80,FALSE,PDX,North America,Portland,200,50
163.123.174.42,2082,80,FALSE,PDX,North America,Portland,200,50
13.36.253.240,2052,80,FALSE,CDG,Europe,Paris,200,50
163.123.174.36,2082,80,FALSE,PDX,North America,Portland,200,50
163.123.174.205,2083,80,FALSE,PDX,North America,Portland,201,50
163.123.174.17,2082,80,FALSE,PDX,North America,Portland,201,50
163.123.174.23,2052,80,FALSE,PDX,North America,Portland,201,50
163.123.174.17,2083,80,FALSE,PDX,North America,Portland,201,50
13.48.140.41,2096,80,FALSE,ARN,Europe,Stockholm,201,50
163.123.174.36,2053,80,FALSE,PDX,North America,Portland,201,50
163.123.174.36,2083,80,FALSE,PDX,North America,Portland,201,50
